Data_Source,Airline_Name,Boarding,Cabin_Staff_Service,Comfort,Entertainment,Food_And_Beverages,Overall_Airline_Rating,Mention,Number_Evaluation
Kayak,calm-air,6,8,8,2,4,"5,6",Correct,1
Kayak,cambodia-angkor-air,"7,5",8,"7,4",6,"6,5","7,2",Bien,103
Kayak,canadian-north,"6,4","6,4",6,"5,6","6,2","6,1",Bien,18
Kayak,canaryfly,"9,3","9,3",9,"7,4","7,7","8,6",Excellent,8
Kayak,cape-air,"8,3","8,6","7,6","7,1","6,8","7,8",Bien,221
Kayak,caribbean-airlines,"7,8","8,1","7,6","6,9","7,2","7,6",Bien,997
Kayak,cathay-dragon,"7,9","8,1","7,6","7,6","7,5","7,8",Bien,867
Kayak,cathay-pacific,"8,1","8,4","7,9","8,2","7,7",8,Excellent,6058
Kayak,cayman-airways,"8,1","8,4","8,1","6,6","7,3","7,8",Bien,181
Kayak,cebgo,"7,4","7,8","7,4",7,"6,9","7,4",Bien,46
Kayak,cebu-pacific,"6,6","7,3","6,3","5,3","5,5","6,3",Bien,596
Kayak,central-mountain-air,"8,8","8,8","8,3","6,4","7,2","8,1",Excellent,33
Kayak,china-airlines,"8,1","8,3","7,8",8,"7,5","7,9",Bien,3547
Kayak,china-eastern-airlines,"6,7",7,"6,6","6,3","6,1","6,5",Bien,6457
Kayak,china-southern-airlines,"7,3","7,6","7,1","6,9","6,8","7,1",Bien,5421
Kayak,china-united-airlines,"7,3",6,6,"5,3",6,"6,2",Bien,3
Kayak,china-west-air,"3,3",4,2,2,2,"2,5",Médiocre,3
Kayak,citilink,"7,8","8,7","8,5",6,"6,9","7,7",Bien,12
Kayak,cityjet,"7,7","8,2","7,6","6,9","7,1","7,5",Bien,252
Kayak,cm-airlines,"7,6",8,"7,3","6,7","6,7","7,3",Bien,67
Kayak,condor,"6,7","7,6","6,3","5,6","6,2","6,5",Bien,918
Kayak,copa-airlines,"8,2","8,4","7,9","7,5","7,6","7,9",Bien,11837
Kayak,corendon,8,"6,7","4,7",6,7,"6,1",Bien,3
Kayak,corsair,"6,8","7,6","6,4","6,4","6,6","6,7",Bien,63
Kayak,croatia-airlines,"7,8","8,2","7,7","6,6","7,2","7,6",Bien,948
Kayak,czech-airlines,"7,2","7,7","7,1","5,9",6,"6,9",Bien,1089
Kayak,delta-air-lines,"8,1","8,5","7,8","7,7","7,5","7,9",Bien,26667
Kayak,eastar-jet,"7,9","7,8","6,8","5,5","5,6","6,9",Bien,110
Kayak,easyfly,5,5,5,5,5,5,Correct,2
Kayak,easyjet,"6,8","7,7","6,7","5,5",6,"6,7",Bien,8394
Kayak,edelweiss-air,"7,9","8,5","7,6","7,7","7,7","7,8",Bien,334
Kayak,egyptair,"7,6","7,8","7,5","6,7","7,2","7,4",Bien,1796
Kayak,el-al,"7,2","7,8","6,8","6,1","6,7","6,9",Bien,3143
Kayak,elite-airways,"9,2","9,2","9,2","9,5","8,8","9,1",Excellent,5
Kayak,ellinair,"7,3",8,"7,1",6,"6,5","7,1",Bien,23
Kayak,emirates,"8,3","8,5","8,2","8,6","8,1","8,3",Excellent,14570
Kayak,ethiopian-airlines,7,"7,6","7,1","6,6","6,6",7,Bien,2177
Kayak,etihad-airways,"7,5","7,7","7,3","7,4",7,"7,3",Bien,6454
Kayak,euroatlantic-airways,"6,4",7,6,"5,7",6,"6,1",Bien,73
Kayak,eurowings,"7,3","7,8","7,2","5,9","6,2",7,Bien,966
Kayak,eva-air,"8,8","8,9","8,5","8,4","8,3","8,6",Excellent,5769
